timestamp,meet_name,meet_url,meet_date,status,rows_touched,athletes_extracted,athletes_saved,athletes_already_in_db,skipped_no_time,skipped_no_link,discrepancy,is_balanced,errors_and_anomalies
"2026-09-17T21:13:23.259186500Z","Misericordia University Cougar Classic","https://tfrrs.org/results/xc/27567/Misericordia_University_Cougar_Classic","09/12/26","SUCCESS",51,39,39,0,12,0,0,true,""
"2026-09-17T21:13:25.435173600Z","George Suitor Invitational","https://tfrrs.org/results/xc/27937/George_Suitor_Invitational","09/12/26","SUCCESS",150,135,135,0,15,0,0,true,""
"2026-09-17T21:13:27.555493900Z","Dordt Sunflower Open","https://tfrrs.org/results/xc/28591/Dordt_Sunflower_Open","09/12/26","SUCCESS",97,90,90,0,0,7,0,true,""
"2026-09-17T21:13:29.670519900Z","FURMAN INVITATIONAL 6K","https://tfrrs.org/results/xc/27636/FURMAN_INVITATIONAL_6K","09/12/26","SUCCESS",76,74,74,0,0,2,0,true,""
"2026-09-17T21:13:31.794728900Z","5th Annual Phoenix Open","https://tfrrs.org/results/xc/27472/5th_Annual_Phoenix_Open","09/12/26","SUCCESS",102,99,99,0,1,2,0,true,""
"2026-09-17T21:13:33.917308700Z","Shawn M. Nassaney XC Invitational","https://tfrrs.org/results/xc/28018/Shawn_M_Nassaney_XC_Invitational","09/12/26","SUCCESS",59,50,50,0,8,1,0,true,""
"2026-09-17T21:13:36.036589300Z","Kim Duyst Twilight XC Invitational (Universities)","https://tfrrs.org/results/xc/27819/Kim_Duyst_Twilight_XC_Invitational_Universities","09/12/26","SUCCESS",117,111,111,0,1,5,0,true,""
"2026-09-17T21:13:38.119501500Z","NAC Preview Meet","https://tfrrs.org/results/xc/28298/NAC_Preview_Meet","09/12/26","SUCCESS",37,35,35,0,0,2,0,true,""
"2026-09-17T21:13:40.221016400Z","Ken Weidt Classic","https://tfrrs.org/results/xc/28211/Ken_Weidt_Classic","09/12/26","SUCCESS",100,97,97,0,0,3,0,true,""
"2026-09-17T21:13:42.350101700Z","33rd Joe I. Vigil Open","https://tfrrs.org/results/xc/27844/33rd_Joe_I_Vigil_Open","09/12/26","SUCCESS",47,44,44,0,0,3,0,true,""
"2026-09-17T21:13:44.450783500Z","Vassar Ron Stonitsch Invitational 2026","https://tfrrs.org/results/xc/28228/Vassar_Ron_Stonitsch_Invitational_2026","09/12/26","SUCCESS",84,78,78,0,1,5,0,true,""
"2026-09-17T21:13:46.533703Z","Saturday Night Lights","https://tfrrs.org/results/xc/27563/Saturday_Night_Lights","09/12/26","SUCCESS",61,56,56,0,3,2,0,true,""
"2026-09-17T21:13:48.648639200Z","Kutztown Dii/DIII Challenge","https://tfrrs.org/results/xc/28377/Kutztown_Dii_DIII_Challenge","09/12/26","SUCCESS",67,57,57,0,10,0,0,true,""
"2026-09-17T21:13:50.728721700Z","2026 Puget Sound Invitational","https://tfrrs.org/results/xc/27807/2026_Puget_Sound_Invitational","09/12/26","SUCCESS",58,52,52,0,0,6,0,true,""
"2026-09-17T21:14:00.237380Z","64th Les Duke Invite","https://tfrrs.org/results/xc/28586/64th_Les_Duke_Invite","09/12/26","ERROR",0,0,0,0,0,0,0,false,"Error fetching meet page: https://tfrrs.org/results/xc/28586/64th_Les_Duke_Invite - Read timed out"
"2026-09-17T21:14:02.382448500Z","Aldrich Invitational","https://tfrrs.org/results/xc/28020/Aldrich_Invitational","09/12/26","SUCCESS",146,111,111,0,31,4,0,true,""
"2026-09-17T21:14:04.440645600Z","Trent Smith Invitational","https://tfrrs.org/results/xc/28249/Trent_Smith_Invitational","09/12/26","SUCCESS",30,28,28,0,0,2,0,true,""
"2026-09-17T21:14:06.525096700Z","Frank Dillon Memorial Invitational","https://tfrrs.org/results/xc/28198/Frank_Dillon_Memorial_Invitational","09/12/26","SUCCESS",29,27,27,0,2,0,0,true,""
"2026-09-17T21:14:08.727636300Z","Cantello Invitational","https://tfrrs.org/results/xc/28167/Cantello_Invitational","09/12/26","SUCCESS",70,68,68,0,2,0,0,true,""
"2026-09-17T21:14:10.884264700Z","HOKA NIGHTS OF THUNDER XC RUN FEST","https://tfrrs.org/results/xc/27345/HOKA_NIGHTS_OF_THUNDER_XC_RUN_FEST","09/11-12/26","SUCCESS",128,82,82,0,38,8,0,true,""
"2026-09-17T21:14:12.960309100Z","Bill Fritz College Open at the DREAM Park","https://tfrrs.org/results/xc/27512/Bill_Fritz_College_Open_at_the_DREAM_Park","09/11/26","SUCCESS",28,27,27,0,1,0,0,true,""
"2026-09-17T21:14:15.269300500Z","Queen City Invite","https://tfrrs.org/results/xc/27434/Queen_City_Invite","09/11/26","SUCCESS",327,258,258,0,67,2,0,true,""
"2026-09-17T21:14:17.371723100Z","Harry Groves Spiked Shoe Invitational","https://tfrrs.org/results/xc/28574/Harry_Groves_Spiked_Shoe_Invitational","09/11/26","SUCCESS",104,92,92,0,10,2,0,true,""
"2026-09-17T21:14:19.435861500Z","Golden Grizzlies Open","https://tfrrs.org/results/xc/28590/Golden_Grizzlies_Open","09/11/26","SUCCESS",34,24,24,0,10,0,0,true,""
"2026-09-17T21:14:21.493164100Z","Wilberforce Bulldogs Open","https://tfrrs.org/results/xc/27588/Wilberforce_Bulldogs_Open","09/11/26","SUCCESS",34,33,33,0,0,1,0,true,""
"2026-09-17T21:14:23.618751700Z","Saint Thomas University STU Bob Cat Invitational","https://tfrrs.org/results/xc/27742/_Saint_Thomas_University_STU_Bob_Cat_Invitational","09/11/26","SUCCESS",82,78,78,0,0,4,0,true,""
"2026-09-17T21:14:25.727891400Z","Marauders Home Opener","https://tfrrs.org/results/xc/28324/Marauders_Home_Opener","09/11/26","SUCCESS",63,63,63,0,0,0,0,true,""
"2026-09-17T21:14:27.918963400Z","Queen City After Dark","https://tfrrs.org/results/xc/28191/Queen_City_After_Dark","09/11/26","SUCCESS",179,171,171,0,8,0,0,true,""
"2026-09-17T21:14:30.070565800Z","RMU Colonial Cross Country Invitational","https://tfrrs.org/results/xc/27786/RMU_Colonial_Cross_Country_Invitational","09/11/26","SUCCESS",162,139,139,0,23,0,0,true,""
"2026-09-17T21:14:32.159067900Z","Gerald Richey UTA Invitational & UIL Regional Meet Preview","https://tfrrs.org/results/xc/27824/Gerald_Richey_UTA_Invitational__UIL_Regional_Meet_Preview","09/11/26","SUCCESS",73,67,67,0,0,6,0,true,""
